1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
-1,-1,-1,-1,-1,-1,-1,-1,-1,0.031481059,0,-1,-1,-1,-1,0.018214461,0.02093649,0.017087891,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.051496327,0.022761245,-1,0.064021259,0.039554312,0.012362296,0.015959278,0.044639017,0.010737336,-1,-1,0,-1,0.042250617,0.037891004,-1,-1,-1,0.09815876,0.09524432,0.100282888,-1,0.086884116,0.064024967,0.066111509,0.064153766,0.060849122,0.056563731,0.056828318,0.064455768,0.065444975,-1,-1,0.250304874,0.232484755,-1,-1,-1,-1,-1,-1,0.27753865,0.186151175,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.056898688,0.024794206,-1,0.068337586,0.02104165,0.037107158,0.034134639,0.081466704,0.047565023,-1,-1,0.042250617,-1,0,0.016123877,-1,-1,-1,0.103696018,0.100781627,0.105820147,-1,0.092421428,0.069536806,0.07162516,0.069633736,0.066345279,0.062050757,0.062317959,0.069964535,0.070948384,-1,-1,0.255501865,0.237681746,-1,-1,-1,-1,-1,-1,0.28273564,0.191348165,-1,-1,-1
0.052741037,0.020326061,-1,0.064216093,0.008512391,0.032741955,0.029757719,0.077106591,0.04320491,-1,-1,0.037891004,-1,0.016123877,0,-1,-1,-1,0.099534468,0.096620076,0.101658598,-1,0.088259877,0.065375994,0.067464293,0.06547386,0.062184922,0.057890643,0.058157766,0.065803817,0.066787823,-1,-1,0.251350639,0.233530519,-1,-1,-1,-1,-1,-1,0.278584414,0.187196939,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,0.028768086,0.018214461,-1,-1,-1,-1,0,0.018693962,0.022749908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,0.018885937,0.02093649,-1,-1,-1,-1,0.018693962,0,0.026514995,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,0.036809093,0.017087891,-1,-1,-1,-1,0.022749908,0.026514995,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.075448093,0.086357969,-1,0.107570674,0.101242536,0.093322948,0.090969506,0.13740276,0.103501079,-1,-1,0.09815876,-1,0.103696018,0.099534468,-1,-1,-1,0,0.025584487,0.016794781,-1,0.024324721,0.054207263,0.056210713,0.065098849,0.058795708,0.065962915,0.066384784,0.051914646,0.055262237,-1,-1,0.279506785,0.261686668,-1,-1,-1,-1,-1,-1,0.306740562,0.215353087,-1,-1,-1
0.072534969,0.083443563,-1,0.10465658,0.098328144,0.090408511,0.088055074,0.134488321,0.10058664,-1,-1,0.09524432,-1,0.100781627,0.096620076,-1,-1,-1,0.025584487,0,0.027206982,-1,0.020339942,0.051295975,0.053299134,0.062187781,0.055884517,0.063050777,0.063472614,0.049007294,0.052353887,-1,-1,0.27659344,0.25877332,-1,-1,-1,-1,-1,-1,0.303827215,0.21243974,-1,-1,-1
0.077572272,0.088482098,-1,0.109694816,0.103366666,0.095447076,0.093093635,0.139526888,0.105625207,-1,-1,0.100282888,-1,0.105820147,0.101658598,-1,-1,-1,0.016794781,0.027206982,0,-1,0.026402868,0.056331513,0.058334951,0.067223107,0.060919961,0.068087132,0.068509,0.054039048,0.057386601,-1,-1,0.281630957,0.263810838,-1,-1,-1,-1,-1,-1,0.308864733,0.217477257,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.064174925,0.075083363,-1,0.096296416,0.089967945,0.082048307,0.07969487,0.126128117,0.092226436,-1,-1,0.086884116,-1,0.092421428,0.088259877,-1,-1,-1,0.024324721,0.020339942,0.026402868,-1,0,0.042936131,0.044939253,0.053827976,0.047524694,0.054690844,0.055112676,0.040647956,0.043994421,-1,-1,0.268233365,0.250413245,-1,-1,-1,-1,-1,-1,0.29546714,0.204079665,-1,-1,-1
0.040603852,0.052206426,-1,0.073259114,0.067084227,0.059187962,0.05683221,0.103268858,0.069367177,-1,-1,0.064024967,-1,0.069536806,0.065375994,-1,-1,-1,0.054207263,0.051295975,0.056331513,-1,0.042936131,0,0.013546527,0.029155322,0.021592539,0.030264657,0.030693711,0.02069193,0.022654799,-1,-1,0.244837243,0.22701712,-1,-1,-1,-1,-1,-1,0.272071019,0.180683544,-1,-1,-1
0.042743196,0.054294223,-1,0.075359492,0.069172515,0.061274587,0.058918997,0.105355408,0.071453727,-1,-1,0.066111509,-1,0.07162516,0.067464293,-1,-1,-1,0.056210713,0.053299134,0.058334951,-1,0.044939253,0.013546527,0,0.03146604,0.023852063,0.032406599,0.03282865,0.023053398,0.025058682,-1,-1,0.246975861,0.229155742,-1,-1,-1,-1,-1,-1,0.274209637,0.182822161,-1,-1,-1
0.03978133,0.05231308,-1,0.0731535,0.067182303,0.059315279,0.056956655,0.103397521,0.06949584,-1,-1,0.064153766,-1,0.069633736,0.06547386,-1,-1,-1,0.065098849,0.062187781,0.067223107,-1,0.053827976,0.029155322,0.03146604,0,0.02437702,0.029066636,0.029609458,0.029352385,0.03000349,-1,-1,0.244165216,0.226345097,-1,-1,-1,-1,-1,-1,0.271398992,0.180011516,-1,-1,-1
0.036888652,0.049019639,-1,0.06997336,0.063893257,0.056011381,0.053654206,0.100092945,0.066191264,-1,-1,0.060849122,-1,0.066345279,0.062184922,-1,-1,-1,0.058795708,0.055884517,0.060919961,-1,0.047524694,0.021592539,0.023852063,0.02437702,0,0.025108496,0.025558655,0.023756886,0.024879608,-1,-1,0.24135121,0.22353109,-1,-1,-1,-1,-1,-1,0.268584985,0.17719751,-1,-1,-1
0.031825484,0.044727677,-1,0.065648951,0.059599032,0.051725536,0.049367485,0.095807513,0.061905832,-1,-1,0.056563731,-1,0.062050757,0.057890643,-1,-1,-1,0.065962915,0.063050777,0.068087132,-1,0.054690844,0.030264657,0.032406599,0.029066636,0.025108496,0,0.00972749,0.031118859,0.03201278,-1,-1,0.237301922,0.219481802,-1,-1,-1,-1,-1,-1,0.264535697,0.173148222,-1,-1,-1
0.032177363,0.044994061,-1,0.065935223,0.059866138,0.051990241,0.049632421,0.09607211,0.062170429,-1,-1,0.056828318,-1,0.062317959,0.058157766,-1,-1,-1,0.066384784,0.063472614,0.068509,-1,0.055112676,0.030693711,0.03282865,0.029609458,0.025558655,0.00972749,0,0.031572318,0.032476108,-1,-1,0.237664257,0.219844138,-1,-1,-1,-1,-1,-1,0.264898033,0.173510557,-1,-1,-1
